frame,Si1_idx,O_idx,Si2_idx,angle_deg
0,0,96,35,139.82142175691226
0,1,49,12,138.67458744465816
0,1,73,30,145.38667038331133
0,1,97,32,143.82846759781376
0,1,121,31,136.1968698284806
0,2,74,31,168.92985893912532
0,2,98,33,129.01336638127805
0,2,122,30,137.31453039733898
0,3,99,34,149.98041801162236
0,4,76,27,157.78843161342706
0,4,124,28,139.078991851773
0,5,77,29,149.44246710702186
0,5,125,26,140.68188964273563
0,6,78,26,146.01241028590044
0,6,102,30,142.47785966156366
0,6,126,29,143.27690090420938
0,7,79,28,135.16654983213922
0,7,103,31,149.24048119871313
0,7,127,27,140.11344444529826
0,8,80,35,125.77259582270987
0,8,104,27,137.19544674901437
0,8,128,32,138.18668698209896
0,9,57,13,124.90105118918935
0,9,81,33,144.8039830694195
0,9,105,28,150.23118348326128
0,9,129,34,146.0444647619979
0,10,82,34,136.58141686383257
0,10,106,29,139.68762531912597
0,10,130,33,137.18548625891097
0,11,83,32,138.31890792231886
0,11,107,26,138.90093765769348
0,11,131,35,143.00881481010066
0,12,84,20,138.22548756084427
0,12,108,25,143.89467478369139
0,13,91,16,141.67236405643055
0,13,115,21,147.25280937689192
0,14,60,27,135.70783123870578
0,15,61,26,139.39719375749198
0,16,62,28,131.31456481212393
0,17,63,29,133.9111208809223
0,18,64,35,142.19597228537717
0,19,65,34,131.8610019350709
0,20,66,32,142.23386616999636
0,21,67,33,146.35370670698282
0,23,69,31,131.47087990513864
0,25,71,30,146.17005475922954
10,0,96,35,158.8389340512685
10,1,49,12,136.25735186100536
10,1,73,30,145.03064380755393
10,1,97,32,144.85204049914915
10,1,121,31,129.63814809750846
10,2,74,31,134.5260040806939
10,2,98,33,135.55500695586352
10,2,122,30,135.11912303205605
10,3,99,34,129.61728520593553
10,4,76,27,152.9313771896875
10,4,124,28,129.0004532819897
10,5,77,29,144.2085010634544
10,5,125,26,130.33862569359349
10,6,78,26,158.17875941564407
10,6,102,30,165.27815505943343
10,6,126,29,133.1709423298946
10,7,79,28,156.5077385784683
10,7,103,31,154.26473556403644
10,7,127,27,140.55318661330435
10,8,80,35,147.49653633517784
10,8,104,27,147.79716938506948
10,8,128,32,143.83052337209617
10,9,57,13,142.26422014125023
10,9,81,33,133.64092676722584
10,9,105,28,151.07752416238435
10,9,129,34,147.8210283042208
10,10,82,34,136.05957437133307
10,10,106,29,138.51802327703496
10,10,130,33,147.7427528708731
10,11,83,32,147.2202976553775
10,11,107,26,142.56293937942453
10,11,131,35,141.0293308149451
10,12,84,20,154.80162217181345
10,12,108,25,146.31906840477575
10,13,91,16,138.856533486684
10,13,115,21,139.16877340544679
10,14,60,27,131.84343637509375
10,15,61,26,135.91716971825423
10,16,62,28,142.51360734753848
10,17,63,29,126.16466960137791
10,18,64,35,128.09913330549492
10,19,65,34,122.63001698612064
10,20,66,32,139.5050671749895
10,21,67,33,154.80457580858274
10,23,69,31,142.93533546862034
10,25,71,30,136.26758923214794
20,0,96,35,166.40600279093206
20,1,49,12,125.25637276378879
20,1,73,30,151.93090714791353
20,1,97,32,166.9479814244871
20,1,121,31,139.55621772709924
20,2,74,31,152.93700378577876
20,2,98,33,132.9027248701752
20,2,122,30,150.9474517318162
20,3,99,34,149.17160773171955
20,4,76,27,157.42896209000688
20,4,124,28,131.78863204156184
20,5,77,29,160.07236009041492
20,5,125,26,136.76526963288217
20,6,78,26,132.0820091785102
20,6,102,30,168.6872107752241
20,6,126,29,148.6628988031973
20,7,79,28,138.76108863887512
20,7,103,31,138.45614169413744
20,7,127,27,134.7744588607697
20,8,80,35,150.026731537113
20,8,104,27,143.97795796803223
20,8,128,32,131.24777586100907
20,9,57,13,129.75871261003292
20,9,81,33,140.24799302725233
20,9,105,28,154.32665620300617
20,9,129,34,144.65864965273235
20,10,82,34,144.30248402022124
20,10,106,29,139.65919472533193
20,10,130,33,133.202884888927
20,11,83,32,149.64780630366658
20,11,107,26,143.6132121212314
20,11,131,35,140.31702478071767
20,12,84,20,146.87714713927033
20,12,108,25,130.75188708041975
20,13,91,16,137.27972468090897
20,13,115,21,154.42912430507818
20,14,60,27,131.66963616465276
20,15,61,26,141.5999509963313
20,16,62,28,126.76059648042477
20,17,63,29,138.86758531926353
20,18,64,35,137.5460942934375
20,19,65,34,131.17019165729093
20,20,66,32,140.23012329594857
20,21,67,33,149.56789688306822
20,23,69,31,139.16399889029944
20,25,71,30,119.10085885610863
30,0,96,35,150.99292012877842
30,1,49,12,127.41564648249225
30,1,73,30,162.11874261712012
30,1,97,32,142.42070291851263
30,1,121,31,134.01490548628402
30,2,74,31,143.42806617912612
30,2,98,33,134.46657826466173
30,2,122,30,138.3387974568715
30,3,99,34,148.24807417209027
30,4,76,27,171.00597254415527
30,4,124,28,131.47400201901846
30,5,77,29,166.75401742425927
30,5,125,26,141.9105288331682
30,6,78,26,147.3215394606809
30,6,102,30,155.01494472222612
30,6,126,29,142.22653634525892
30,7,79,28,131.37493488155894
30,7,103,31,152.6457997871062
30,7,127,27,129.8656838065644
30,8,80,35,138.24073167693257
30,8,104,27,132.19860200129304
30,8,128,32,139.72707820987586
30,9,57,13,134.91766399578114
30,9,81,33,157.85657594081485
30,9,105,28,151.23229381192766
30,9,129,34,139.47037268126124
30,10,82,34,145.88923520350008
30,10,106,29,137.40637628220932
30,10,130,33,134.07592238814564
30,11,83,32,144.203310342355
30,11,107,26,155.92643662256486
30,11,131,35,147.40464866998093
30,12,84,20,131.0846993275879
30,12,108,25,149.3077593428376
30,13,91,16,142.09383741136875
30,13,115,21,154.4472682667517
30,14,60,27,138.4130867781616
30,15,61,26,129.9611249507884
30,16,62,28,155.8216259383826
30,17,63,29,127.50378953248519
30,18,64,35,131.4042584563282
30,19,65,34,127.47156081878518
30,20,66,32,131.92306504722515
30,21,67,33,143.98323439134282
30,23,69,31,139.61806721843269
30,25,71,30,132.63858188820615
40,0,96,35,140.48669232544924
40,1,49,12,131.77373385301766
40,1,73,30,139.5754710914276
40,1,97,32,162.26606960108117
40,1,121,31,149.4762383034301
40,2,74,31,155.0345787239024
40,2,98,33,150.07627474730396
40,2,122,30,155.59177042263227
40,3,99,34,148.40184049693056
40,4,76,27,165.72636547799664
40,4,124,28,125.8427644942982
40,5,77,29,165.13482634304862
40,5,125,26,132.23155598838355
40,6,78,26,132.5100315728298
40,6,102,30,151.95602113606896
40,6,126,29,136.817402158388
40,7,79,28,135.2927980673026
40,7,103,31,155.44249922427642
40,7,127,27,137.65185765990063
40,8,80,35,149.7211419647608
40,8,104,27,142.8787601645345
40,8,128,32,134.8351691295107
40,9,57,13,135.1520363877143
40,9,81,33,148.46647330955886
40,9,105,28,147.35407159048046
40,9,129,34,144.0769609998936
40,10,82,34,150.6434402787013
40,10,106,29,144.5578400882685
40,10,130,33,149.34988513866458
40,11,83,32,156.87328956841722
40,11,107,26,150.41088004766289
40,11,131,35,141.17489220682185
40,12,84,20,155.0521304444554
40,12,108,25,138.33240922568078
40,13,91,16,137.56140057839477
40,13,115,21,140.82211726342618
40,14,60,27,134.01523855805146
40,15,61,26,142.32904507926784
40,16,62,28,154.39044385333145
40,17,63,29,134.05197601434097
40,18,64,35,150.37301843314452
40,19,65,34,134.50960255769257
40,20,66,32,138.8655049034055
40,21,67,33,141.65536408755014
40,23,69,31,119.15388025364516
40,25,71,30,136.52183516950237
50,0,96,35,145.81641546155657
50,1,49,12,142.02490559892289
50,1,73,30,158.93810295073035
50,1,97,32,135.95292585792666
50,1,121,31,130.86102362457646
50,2,74,31,153.93506176448386
50,2,98,33,140.41903398315137
50,2,122,30,141.3491044548538
50,3,99,34,147.26378413234477
50,4,76,27,149.1955971832851
50,4,124,28,143.02517262841346
50,5,77,29,169.6770019438871
50,5,125,26,127.24844072586286
50,6,78,26,140.92995330568078
50,6,102,30,155.34229102620128
50,6,126,29,142.45947447020248
50,7,79,28,134.56715326275298
50,7,103,31,148.22457633058474
50,7,127,27,153.46269054544183
50,8,80,35,142.6595688407839
50,8,104,27,147.23777800480337
50,8,128,32,131.6471380120797
50,9,57,13,127.06962616639818
50,9,81,33,145.8407402570087
50,9,105,28,145.8036714234087
50,9,129,34,157.48978348615907
50,10,82,34,141.72248041838745
50,10,106,29,145.54121302066514
50,10,130,33,149.77392483299866
50,11,83,32,143.19059478019517
50,11,107,26,150.93778358895588
50,11,131,35,138.5724241409005
50,12,84,20,135.97027558453564
50,12,108,25,142.95115478580954
50,13,91,16,130.50815124773837
50,13,115,21,143.97359550200633
50,14,60,27,127.01874758614177
50,15,61,26,134.04084257551895
50,16,62,28,135.66205814551665
50,17,63,29,128.05403914048324
50,18,64,35,152.7687898821898
50,19,65,34,129.51426306421786
50,20,66,32,149.94019750918417
50,21,67,33,138.01821149990514
50,23,69,31,128.99723586574996
50,25,71,30,130.4677531083155
60,0,96,35,130.33013700468044
60,1,49,12,137.56384012332
60,1,73,30,163.1292702009993
60,1,97,32,140.07708685278743
60,1,121,31,127.62545177444288
60,2,74,31,166.01204783449583
60,2,98,33,134.90972917691488
60,2,122,30,131.46116080940752
60,3,99,34,145.20092550789
60,4,76,27,149.34946037959173
60,4,124,28,133.74419117243033
60,5,77,29,159.592229433506
60,5,125,26,131.25219762332677
60,6,78,26,151.1158031435393
60,6,102,30,158.45571008834423
60,6,126,29,139.2137368144362
60,7,79,28,134.14972236426982
60,7,103,31,142.62479766056427
60,7,127,27,134.39391788614756
60,8,80,35,134.6915326507229
60,8,104,27,133.1503938891802
60,8,128,32,143.9004843857839
60,9,57,13,142.92113997538073
60,9,81,33,149.7981206924314
60,9,105,28,152.30964677530812
60,9,129,34,133.9555243433158
60,10,82,34,137.2492754508652
60,10,106,29,155.41627640069905
60,10,130,33,136.80152849289277
60,11,83,32,140.04722333603033
60,11,107,26,145.70821934102574
60,11,131,35,136.48211990445841
60,12,84,20,132.71910121656327
60,12,108,25,144.14401895913105
60,13,91,16,136.78936228535466
60,13,115,21,131.00304106915385
60,14,60,27,134.9522795543756
60,15,61,26,134.9082638737713
60,16,62,28,139.86045229008573
60,17,63,29,129.52948533877412
60,18,64,35,163.25861197330104
60,19,65,34,135.55417451990732
60,20,66,32,143.92869356183536
60,21,67,33,164.7177748793076
60,23,69,31,129.59770891472888
60,25,71,30,132.51557709051883
70,0,96,35,129.48997423040984
70,1,49,12,135.6648466337539
70,1,73,30,142.82508275070276
70,1,97,32,154.9198186751066
70,1,121,31,143.5415838433908
70,2,74,31,155.8852693486828
70,2,98,33,169.31245975144913
70,2,122,30,147.84134726805385
70,3,99,34,149.0256616216218
70,4,76,27,167.56081887605882
70,4,124,28,142.702628480104
70,5,77,29,140.9172260558595
70,5,125,26,146.92180810239353
70,6,78,26,132.9560757722101
70,6,102,30,148.7794251632278
70,6,126,29,165.8434742299421
70,7,79,28,137.22773046483664
70,7,103,31,145.5775158485301
70,7,127,27,133.2936802454701
70,8,80,35,152.0138299817259
70,8,104,27,132.6666240970974
70,8,128,32,137.56734612828802
70,9,57,13,128.71596462848998
70,9,81,33,142.26749165378342
70,9,105,28,151.27337288411127
70,9,129,34,142.44156975350052
70,10,82,34,146.90039478173438
70,10,106,29,139.4108332738574
70,10,130,33,144.07415353385488
70,11,83,32,147.83096072096097
70,11,107,26,138.90652953740872
70,11,131,35,134.84816296488503
70,12,84,20,157.48008341181352
70,12,108,25,140.2797214360194
70,13,91,16,136.90405347640487
70,13,115,21,135.8818615335093
70,14,60,27,142.07881428740856
70,15,61,26,123.24829661308627
70,16,62,28,134.46611108728794
70,17,63,29,133.41326040862236
70,18,64,35,145.09042686408145
