angle_deg,count,normalized_density
0.500,0,0.000000
1.500,0,0.000000
2.500,0,0.000000
3.500,0,0.000000
4.500,0,0.000000
5.500,0,0.000000
6.500,0,0.000000
7.500,0,0.000000
8.500,0,0.000000
9.500,0,0.000000
10.500,0,0.000000
11.500,0,0.000000
12.500,0,0.000000
13.500,0,0.000000
14.500,0,0.000000
15.500,0,0.000000
16.500,0,0.000000
17.500,0,0.000000
18.500,0,0.000000
19.500,0,0.000000
20.500,0,0.000000
21.500,0,0.000000
22.500,0,0.000000
23.500,0,0.000000
24.500,0,0.000000
25.500,0,0.000000
26.500,0,0.000000
27.500,0,0.000000
28.500,0,0.000000
29.500,0,0.000000
30.500,0,0.000000
31.500,0,0.000000
32.500,0,0.000000
33.500,0,0.000000
34.500,0,0.000000
35.500,0,0.000000
36.500,0,0.000000
37.500,0,0.000000
38.500,0,0.000000
39.500,0,0.000000
40.500,0,0.000000
41.500,0,0.000000
42.500,0,0.000000
43.500,0,0.000000
44.500,0,0.000000
45.500,0,0.000000
46.500,0,0.000000
47.500,0,0.000000
48.500,0,0.000000
49.500,0,0.000000
50.500,0,0.000000
51.500,0,0.000000
52.500,0,0.000000
53.500,0,0.000000
54.500,0,0.000000
55.500,0,0.000000
56.500,0,0.000000
57.500,0,0.000000
58.500,0,0.000000
59.500,0,0.000000
60.500,0,0.000000
61.500,0,0.000000
62.500,0,0.000000
63.500,0,0.000000
64.500,0,0.000000
65.500,0,0.000000
66.500,0,0.000000
67.500,0,0.000000
68.500,0,0.000000
69.500,0,0.000000
70.500,0,0.000000
71.500,0,0.000000
72.500,0,0.000000
73.500,0,0.000000
74.500,0,0.000000
75.500,0,0.000000
76.500,0,0.000000
77.500,0,0.000000
78.500,0,0.000000
79.500,0,0.000000
80.500,0,0.000000
81.500,0,0.000000
82.500,0,0.000000
83.500,0,0.000000
84.500,0,0.000000
85.500,0,0.000000
86.500,0,0.000000
87.500,0,0.000000
88.500,0,0.000000
89.500,0,0.000000
90.500,0,0.000000
91.500,0,0.000000
92.500,0,0.000000
93.500,0,0.000000
94.500,0,0.000000
95.500,0,0.000000
96.500,0,0.000000
97.500,0,0.000000
98.500,0,0.000000
99.500,0,0.000000
100.500,0,0.000000
101.500,0,0.000000
102.500,0,0.000000
103.500,0,0.000000
104.500,0,0.000000
105.500,0,0.000000
106.500,0,0.000000
107.500,0,0.000000
108.500,0,0.000000
109.500,0,0.000000
110.500,0,0.000000
111.500,0,0.000000
112.500,0,0.000000
113.500,1,0.000010
114.500,8,0.000083
115.500,8,0.000083
116.500,25,0.000259
117.500,35,0.000362
118.500,45,0.000466
119.500,96,0.000994
120.500,165,0.001708
121.500,204,0.002112
122.500,362,0.003747
123.500,472,0.004886
124.500,692,0.007164
125.500,902,0.009337
126.500,1134,0.011739
127.500,1422,0.014720
128.500,1791,0.018540
129.500,2056,0.021284
130.500,2452,0.025383
131.500,2727,0.028230
132.500,3083,0.031915
133.500,3444,0.035652
134.500,3565,0.036905
135.500,3901,0.040383
136.500,4069,0.042122
137.500,4194,0.043416
138.500,4212,0.043602
139.500,4276,0.044265
140.500,4074,0.042174
141.500,3916,0.040538
142.500,3925,0.040631
143.500,3814,0.039482
144.500,3551,0.036760
145.500,3245,0.033592
146.500,3075,0.031832
147.500,2777,0.028747
148.500,2563,0.026532
149.500,2269,0.023489
150.500,2147,0.022226
151.500,1920,0.019876
152.500,1724,0.017847
153.500,1504,0.015569
154.500,1391,0.014400
155.500,1206,0.012484
156.500,1060,0.010973
157.500,970,0.010041
158.500,844,0.008737
159.500,732,0.007578
160.500,650,0.006729
161.500,528,0.005466
162.500,471,0.004876
163.500,428,0.004431
164.500,388,0.004017
165.500,358,0.003706
166.500,325,0.003364
167.500,228,0.002360
168.500,219,0.002267
169.500,208,0.002153
170.500,166,0.001718
171.500,126,0.001304
172.500,109,0.001128
173.500,86,0.000890
174.500,85,0.000880
175.500,78,0.000807
176.500,37,0.000383
177.500,35,0.000362
178.500,23,0.000238
179.500,4,0.000041
